,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Stock Name,Date,Open,Close,High,Low,Volume
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,2022-01-10 05:00:00,169.08,172.19,172.5,168.17,106754551.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,AAPL,2022-01-11 05:00:00,172.32,175.08,175.18,170.82,76138312.0
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,AAPL,2022-01-12 05:00:00,176.12,175.53,177.18,174.82,74805173.0
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,AAPL,2022-01-13 05:00:00,175.78,172.19,176.62,171.79,84405760.0
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,AAPL,2022-01-14 05:00:00,171.34,173.07,173.78,171.09,80440778.0
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,AAPL,2022-01-18 05:00:00,171.51,169.8,172.54,169.405,91063979.0
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,AAPL,2022-01-19 05:00:00,170.0,166.23,171.08,165.94,94814990.0
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,AAPL,2022-01-20 05:00:00,166.98,164.51,169.68,164.18,91420515.0
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,AAPL,2022-01-21 05:00:00,164.415,162.41,166.33,162.3,122824858.0
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,AAPL,2022-01-24 05:00:00,160.02,161.62,162.3,154.7,162706686.0
10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,AAPL,2022-01-25 05:00:00,158.98,159.78,162.76,157.02,115777137.0
11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,AAPL,2022-01-26 05:00:00,163.5,159.69,164.3894,157.82,108275307.0
12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,AAPL,2022-01-27 05:00:00,162.45,159.22,163.84,158.28,121954638.0
13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,AAPL,2022-01-28 05:00:00,165.71,170.33,170.35,162.8,179435660.0
14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,AAPL,2022-01-31 05:00:00,170.16,174.78,175.0,169.51,115522090.0
15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,AAPL,2022-02-01 05:00:00,174.01,174.61,174.84,172.31,85595911.0
16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,AAPL,2022-02-02 05:00:00,174.745,175.84,175.88,173.33,84914158.0
17,17.0,17.0,17.0,17.0,17.0,17.0,17.0,AAPL,2022-02-03 05:00:00,174.48,172.9,176.2399,172.12,89418074.0
18,18.0,18.0,18.0,18.0,18.0,18.0,18.0,AAPL,2022-02-04 05:00:00,171.68,172.39,174.1,170.68,82446700.0
19,19.0,19.0,19.0,19.0,19.0,19.0,19.0,AAPL,2022-02-07 05:00:00,172.86,171.66,173.9458,170.95,77251204.0
20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,AAPL,2022-02-08 05:00:00,171.73,174.83,175.35,171.43,74829217.0
21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,AAPL,2022-02-09 05:00:00,176.05,176.28,176.65,174.9,71204538.0
22,22.0,22.0,22.0,22.0,22.0,22.0,22.0,AAPL,2022-02-10 05:00:00,174.14,172.12,175.48,171.55,90715899.0
23,23.0,23.0,23.0,23.0,23.0,23.0,23.0,AAPL,2022-02-11 05:00:00,172.33,168.64,173.08,168.04,98490687.0
24,24.0,24.0,24.0,24.0,24.0,24.0,24.0,AAPL,2022-02-14 05:00:00,167.37,168.88,169.58,166.56,86185530.0
25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,AAPL,2022-02-15 05:00:00,170.97,172.79,172.95,170.25,64286317.00000001
26,26.0,26.0,26.0,26.0,26.0,26.0,26.0,AAPL,2022-02-16 05:00:00,171.85,172.55,173.34,170.05,61139697.0
27,27.0,27.0,27.0,27.0,27.0,27.0,27.0,AAPL,2022-02-17 05:00:00,171.03,168.88,171.91,168.47,69589344.0
28,28.0,28.0,28.0,28.0,28.0,28.0,28.0,AAPL,2022-02-18 05:00:00,169.82,167.3,170.5413,166.19,82772674.0
29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,AAPL,2022-02-22 05:00:00,164.98,164.32,166.69,162.15,91148358.0
30,30.0,30.0,30.0,30.0,30.0,30.0,30.0,AAPL,2022-02-23 05:00:00,165.54,160.07,166.15,159.75,90009247.0
31,31.0,31.0,31.0,31.0,31.0,31.0,31.0,AAPL,2022-02-24 05:00:00,152.58,162.74,162.85,152.0,141147540.0
32,32.0,32.0,32.0,32.0,32.0,32.0,32.0,AAPL,2022-02-25 05:00:00,163.84,164.85,165.12,160.8738,91974222.0
33,33.0,33.0,33.0,33.0,33.0,33.0,33.0,AAPL,2022-02-28 05:00:00,163.06,165.12,165.42,162.43,95056629.0
34,34.0,34.0,34.0,34.0,34.0,34.0,34.0,AAPL,2022-03-01 05:00:00,164.695,163.2,166.6,161.97,83468865.0
35,35.0,35.0,35.0,35.0,35.0,35.0,35.0,AAPL,2022-03-02 05:00:00,164.39,166.56,167.36,162.95,79724750.0
36,36.0,36.0,36.0,36.0,36.0,36.0,36.0,AAPL,2022-03-03 05:00:00,168.47,166.23,168.91,165.55,76678441.0
37,37.0,37.0,37.0,37.0,37.0,37.0,37.0,AAPL,2022-03-04 05:00:00,164.49,163.17,165.55,162.1,83819592.0
38,38.0,38.0,38.0,38.0,38.0,38.0,38.0,AAPL,2022-03-07 05:00:00,163.36,159.3,165.02,159.04,96418845.0
39,39.0,39.0,39.0,39.0,39.0,39.0,39.0,AAPL,2022-03-08 05:00:00,158.82,157.44,162.88,155.8,131139480.0
40,40.0,40.0,40.0,40.0,40.0,40.0,40.0,AAPL,2022-03-09 05:00:00,161.475,162.95,163.41,159.41,91445405.0
41,41.0,41.0,41.0,41.0,41.0,41.0,41.0,AAPL,2022-03-10 05:00:00,160.2,158.52,160.39,155.98,105342033.0
42,42.0,42.0,42.0,42.0,42.0,42.0,42.0,AAPL,2022-03-11 05:00:00,158.93,154.73,159.28,154.5,96917302.0
43,43.0,43.0,43.0,43.0,43.0,43.0,43.0,AAPL,2022-03-14 04:00:00,151.45,150.62,154.12,150.1,108712111.0
44,44.0,44.0,44.0,44.0,44.0,44.0,44.0,AAPL,2022-03-15 04:00:00,150.9,155.09,155.57,150.38,92964302.0
45,45.0,45.0,45.0,45.0,45.0,45.0,45.0,AAPL,2022-03-16 04:00:00,157.05,159.59,160.0,154.46,102300157.0
46,46.0,46.0,46.0,46.0,46.0,46.0,46.0,AAPL,2022-03-17 04:00:00,158.61,160.62,161.0,157.63,75615376.0
47,47.0,47.0,47.0,47.0,47.0,47.0,47.0,AAPL,2022-03-18 04:00:00,160.51,163.98,164.48,159.76,122610172.0
48,48.0,48.0,48.0,48.0,48.0,48.0,48.0,AAPL,2022-03-21 04:00:00,163.51,165.38,166.35,163.015,95811352.0
49,49.0,49.0,49.0,49.0,49.0,49.0,49.0,AAPL,2022-03-22 04:00:00,165.51,168.82,169.42,164.91,81532007.0
50,50.0,50.0,50.0,50.0,50.0,50.0,50.0,AAPL,2022-03-23 04:00:00,167.99,170.21,172.64,167.65,98062674.0
51,51.0,51.0,51.0,51.0,51.0,51.0,51.0,AAPL,2022-03-24 04:00:00,171.06,174.07,174.14,170.21,90131418.0
52,52.0,52.0,52.0,52.0,52.0,52.0,52.0,AAPL,2022-03-25 04:00:00,173.88,174.72,175.28,172.75,80529356.0
53,53.0,53.0,53.0,53.0,53.0,53.0,53.0,AAPL,2022-03-28 04:00:00,172.17,175.6,175.73,172.0,90371916.0
54,54.0,54.0,54.0,54.0,54.0,54.0,54.0,AAPL,2022-03-29 04:00:00,176.69,178.96,179.01,176.34,99459940.0
55,55.0,55.0,55.0,55.0,55.0,55.0,55.0,AAPL,2022-03-30 04:00:00,178.55,177.77,179.61,176.7,91340654.0
56,56.0,56.0,56.0,56.0,56.0,56.0,56.0,AAPL,2022-03-31 04:00:00,177.84,174.61,178.03,174.4,103049285.0
57,57.0,57.0,57.0,57.0,57.0,57.0,57.0,AAPL,2022-04-01 04:00:00,174.03,174.31,174.88,171.94,78251328.0
58,58.0,58.0,58.0,58.0,58.0,58.0,58.0,AAPL,2022-04-04 04:00:00,174.57,178.44,178.49,174.44,76545983.0
59,59.0,59.0,59.0,59.0,59.0,59.0,59.0,AAPL,2022-04-05 04:00:00,177.5,175.06,178.3,174.415,73401786.0
60,60.0,60.0,60.0,60.0,60.0,60.0,60.0,AAPL,2022-04-06 04:00:00,172.36,171.83,173.63,170.13,89058782.0
61,61.0,61.0,61.0,61.0,61.0,61.0,61.0,AAPL,2022-04-07 04:00:00,171.16,172.14,173.36,169.85,77594650.0
62,62.0,62.0,62.0,62.0,62.0,62.0,62.0,AAPL,2022-04-08 04:00:00,171.78,170.09,171.78,169.2,76534208.0
63,63.0,63.0,63.0,63.0,63.0,63.0,63.0,AAPL,2022-04-11 04:00:00,168.71,165.75,169.03,165.5,72246706.0
64,64.0,64.0,64.0,64.0,64.0,64.0,64.0,AAPL,2022-04-12 04:00:00,168.02,167.66,169.87,166.64,79265181.0
65,65.0,65.0,65.0,65.0,65.0,65.0,65.0,AAPL,2022-04-13 04:00:00,167.39,170.4,171.04,166.77,70618925.0
66,66.0,66.0,66.0,66.0,66.0,66.0,66.0,AAPL,2022-04-14 04:00:00,170.62,165.29,171.27,165.04,75069376.0
