0,AAPL,AMZN,MSFT,SNAP,HOOD,WMT,GOOG,PTON,CPRX,TSLA,F,AMC,SNDL,DIS,NIO,META,NFLX,LCID,NVDA,VOO,SPY,GOOGL,GPRO,PFE,PLUG,AAL,CCL,BABA,BAC,RIVN,SBUX,PLTR,DAL,AMD,NOK,GME,KO,TLRY,COIN,VTI,T,CGC,PYPL,SPCE,UBER,GM,MRNA,BB,FCEL,RBLX,GE,SQ,PSEC,NCLH,BA,DKNG,ABNB,QQQ,CRON,SIRI,CHPT,UAL,NKLA,JNJ,XOM,NKE,INTC,SOFI,LUV,RIOT,ARKK,MRO,DWAC,JBLU,COST,SHOP,TSM,ET,BNGO,BRK.B,SONY,RCL,WISH,V,RYCEY,JPM,VWO,TGT,O,CLOV,ZM,CRM,FUBO,BND,RITM,SPHD,QS,VEA,IVR,VYM
Market Cap (intraday),2.61T,1.05T,2.17T,16.70B,8.97B,406.50B,1.37T,3.95B,1.84B,585.55B,49.32B,3.94B,393.66M,182.63B,15.08B,560.27B,151.12B,14.10B,667.81B,,,1.37T,743.46M,234.24B,5.50B,43.24B,12.68B,257.76B,222.70B,13.41B,120.31B,17.00B,21.60B,148.82B,27.39B,6.82B,271.87B,1.56B,14.22B,,140.57B,819.14M,84.81B,882.82M,62.79B,48.24B,61.04B,2.64B,969.70M,28.20B,102.05B,41.00B,2.74B,5.52B,126.65B,8.47B,69.25B,,701.45M,15.52B,3.22B,13.95B,722.77M,515.24B,468.37B,186.41B,136.85B,5.37B,18.77B,1.53B,,16.07B,496.44M,2.27B,215.52B,57.89B,449.55B,38.71B,321.55M,,108.93B,15.65B,286.44M,474.98B,15.39B,373.67B,,76.23B,41.33B,399.22M,21.11B,192.55B,230.66M,,3.70B,,3.21B,,446.26M,
Enterprise Value,2.66T,1.12T,2.13T,16.94B,-4.48B,456.80B,1.28T,5.49B,1.54B,569.11B,145.72B,13.33B,341.66M,222.53B,12.85B,546.12B,159.41B,12.53B,666.55B,,,1.28T,560.14M,246.38B,4.24B,49.15B,43.66B,205.53B,,3.66B,140.82B,14.62B,45.68B,145.83B,23.42B,6.05B,299.38B,1.75B,12.43B,,291.54B,1.22B,84.37B,389.53M,69.62B,132.60B,52.34B,2.66B,683.76M,26.78B,102.65B,37.66B,,18.19B,166.71B,8.48B,61.97B,,-172.39M,25.29B,3.17B,33.97B,872.33M,531.38B,479.92B,188.17B,150.52B,,15.91B,1.21B,,21.66B,499.90M,5.26B,210.96B,54.24B,426.71B,87.56B,220.03M,,126.12B,37.71B,-419.56M,479.35B,19.81B,,,93.07B,61.14B,70.32M,15.80B,194.13B,336.37M,,,,2.25B,,,
Trailing P/E,27.96,,32.40,,,35.32,23.45,,23.17,51.12,,,,54.93,,25.16,34.10,,155.39,,,23.34,26.67,7.59,,8.72,5.99,56.28,8.73,,36.35,,16.35,110.08,5.93,,28.69,57.50,,,19.47,,35.87,,,5.64,7.87,,23.93,,176.60,,85.50,3.81,,,39.32,,65.31,12.87,,19.13,,24.54,8.68,34.65,16.91,,36.31,,,4.85,,13.78,35.71,,14.00,8.94,,,15.66,57.31,,31.56,,10.54,,27.69,44.06,,211.32,916.90,,,4.33,,,,1.10,
Forward P/E,27.86,63.69,26.95,,,24.75,19.80,,11.59,47.39,7.59,,68.97,23.98,,21.88,29.50,,59.88,,,19.68,40.00,12.14,,8.11,131.58,11.24,8.03,,31.06,38.46,6.12,31.55,10.16,,24.21,,,,8.18,,15.34,,55.56,5.62,,56.50,,,48.08,39.53,,18.02,2.00k,,30.49,,,13.30,,4.15,,15.67,10.99,29.94,68.49,,10.44,,,7.18,,8.14,33.67,5.00k,16.72,6.84,,,15.58,17.73,,26.67,34.13,9.97,,19.42,46.30,,17.33,27.03,,,5.61,,,,1.99,
PEG Ratio (5 yr expected),2.78,2.30,2.19,,,4.21,1.17,,,1.65,0.81,,,1.04,,3.04,1.68,,3.36,,,1.17,,,,4.87,,2.10,4.22,,1.75,0.75,0.26,1.81,,,3.42,,,,1.45,,0.63,,,1.23,,,,,3.08,1.38,,,6.53,,1.53,,,1.09,,0.11,,4.30,1.69,2.13,6.49,,0.27,,,1.44k,,,3.56,,3.37,0.15,,,3.09,,,1.48,0.24,3.32,,4.07,7.68,,2.69,1.35,,,,,,,,
Price/Sales (ttm),6.88,2.02,10.71,3.69,6.48,0.67,4.98,1.26,9.04,7.89,0.31,1.31,0.91,2.16,2.06,5.01,4.84,21.44,25.13,,,4.95,0.78,2.37,7.66,1.12,0.79,2.18,2.39,7.97,3.67,8.76,0.43,6.16,0.99,1.15,6.36,2.44,4.28,,1.23,2.11,3.15,359.62,1.93,0.32,3.49,4.44,6.92,12.37,1.34,2.25,20.75,1.13,1.89,3.57,8.88,,7.59,1.77,6.65,0.31,10.60,4.63,1.23,3.75,2.15,3.29,0.85,4.93,,2.33,,0.24,0.92,10.25,6.29,0.43,10.92,,1.34,1.77,0.48,15.88,0.90,2.94,,0.71,11.46,0.11,4.98,6.12,0.20,,1.06,,,,0.87,
Price/Book (mrq),45.93,7.16,11.85,6.47,1.29,5.30,5.35,129.45,6.11,13.10,1.14,0.18,0.37,1.90,4.34,4.46,7.27,3.24,30.22,,,5.32,1.22,2.45,1.35,1.57,2.05,1.87,0.91,0.97,,6.63,3.28,2.72,1.15,5.16,11.28,0.46,2.61,,1.44,0.76,4.18,1.84,8.55,0.71,3.19,3.09,1.45,92.16,2.81,2.38,0.69,80.46,,6.40,12.46,,0.62,,9.07,2.02,1.37,6.71,2.40,12.83,1.35,1.03,1.76,1.33,,1.41,1.82,0.64,9.46,7.03,4.83,1.17,1.29,,2.16,5.45,0.60,12.86,,1.41,,6.79,1.44,1.15,3.40,3.30,0.56,,0.65,,2.43,,0.88,
Enterprise Value/Revenue,6.88,2.17,10.44,3.68,-3.30,0.75,4.53,1.80,7.20,6.99,0.92,3.41,0.69,2.64,0.26,4.68,5.04,20.60,24.71,,,4.53,0.51,2.46,6.05,1.40,2.91,0.24,,2.21,4.28,7.67,0.90,6.18,0.94,1.02,6.96,2.94,3.89,,2.41,2.76,3.07,168.48,2.18,0.85,2.77,4.06,5.04,12.04,1.34,2.15,35.18,3.76,2.50,3.79,7.38,,-1.88,2.81,6.77,0.76,17.16,5.60,1.20,3.72,2.39,,0.67,4.68,,2.87,,0.57,0.90,9.69,0.19,0.97,7.91,,0.01,4.27,-0.73,15.88,1.47,,,0.85,18.28,0.02,3.60,6.19,0.33,,,,,,,
Enterprise Value/EBITDA,20.81,29.10,21.58,-14.39,5.09,15.18,14.63,-2.17,14.96,32.23,12.95,-67.87,-1.47,18.21,-0.91,14.51,7.84,-11.53,111.33,,,14.63,11.37,6.23,-6.70,3.95,-54.92,2.04,,-0.61,22.40,-43.70,15.52,26.35,6.77,-24.48,21.65,-1.07,-4.40,,13.86,-0.41,16.92,-0.82,-8.80,5.55,5.26,-22.36,-7.32,-35.15,34.00,-199.74,,-27.35,-326.87,-6.32,29.59,,1.68,9.68,-10.13,12.76,-1.20,22.42,4.68,30.54,7.07,,6.69,118.78,,3.76,-39.52,-19.41,20.69,-15.36,0.27,6.98,-1.82,,0.06,61.32,1.07,24.40,-95.72,,,14.11,20.15,-0.21,48.20,34.40,-0.90,,,,-6.03,,,
Beta (5Y Monthly),1.30,1.25,0.92,1.20,,0.49,1.09,1.95,1.16,2.07,1.54,2.04,3.79,1.30,1.92,1.18,1.26,1.19,1.76,1.00,1.00,1.09,1.41,0.59,1.81,1.55,2.23,0.63,1.41,,0.94,2.87,1.26,1.95,0.71,-0.12,0.54,,,1.02,0.77,2.28,1.31,1.43,1.22,1.37,1.70,,3.72,1.72,1.19,2.35,1.02,2.51,1.44,1.80,1.16,1.21,1.44,0.97,1.72,1.44,1.51,0.53,1.08,1.11,0.81,1.72,1.15,4.25,1.76,2.38,,1.60,0.79,2.04,1.24,1.73,2.32,,0.96,2.47,1.56,0.97,1.66,1.10,0.87,1.05,0.80,2.10,-0.22,1.21,2.45,1.00,1.78,0.74,5.27,1.09,1.55,0.77
